"word","buyer","total_amount"
"dettwiler","Innovation, Science and Economic Development Canada",0
"atomics","Innovation, Science and Economic Development Canada",0
"skyalyne","National Research Council Canada",0
"vancouver shipyards","National Research Council Canada",0
"cae","National Research Council Canada",0
"f35","National Research Council Canada",0
"textron","National Research Council Canada",0
"dettwiler","National Research Council Canada",0
"atomics","National Research Council Canada",0
"skyalyne","Employment and Social Development Canada",0
"vancouver shipyards","Employment and Social Development Canada",0
"f35","Employment and Social Development Canada",0
"airbus","Employment and Social Development Canada",0
"textron","Employment and Social Development Canada",0
"dettwiler","Employment and Social Development Canada",0
"atomics","Employment and Social Development Canada",0
"skyalyne","Health Canada",0
"vancouver shipyards","Health Canada",0
"cae","Health Canada",0
"f35","Health Canada",0
"airbus","Health Canada",0
"textron","Health Canada",0
"dettwiler","Health Canada",0
"atomics","Health Canada",0
"skyalyne","Crown-Indigenous Relations and Northern Affairs Canada",0
"vancouver shipyards","Crown-Indigenous Relations and Northern Affairs Canada",0
"cae","Crown-Indigenous Relations and Northern Affairs Canada",0
"f35","Crown-Indigenous Relations and Northern Affairs Canada",0
"airbus","Crown-Indigenous Relations and Northern Affairs Canada",0
"textron","Crown-Indigenous Relations and Northern Affairs Canada",0
"dynamics","Crown-Indigenous Relations and Northern Affairs Canada",0
"dettwiler","Crown-Indigenous Relations and Northern Affairs Canada",0
"atomics","Crown-Indigenous Relations and Northern Affairs Canada",0
"skyalyne","Indigenous Services Canada",0
"vancouver shipyards","Indigenous Services Canada",0
"cae","Indigenous Services Canada",0
"f35","Indigenous Services Canada",0
"airbus","Indigenous Services Canada",0
"textron","Indigenous Services Canada",0
"dynamics","Indigenous Services Canada",0
"dettwiler","Indigenous Services Canada",0
"atomics","Indigenous Services Canada",0
"skyalyne","Parks Canada",0
"vancouver shipyards","Parks Canada",0
"cae","Parks Canada",0
"f35","Parks Canada",0
"airbus","Parks Canada",0
"textron","Parks Canada",0
"dettwiler","Parks Canada",0
"atomics","Parks Canada",0
"skyalyne","Canadian Heritage",0
"vancouver shipyards","Canadian Heritage",0
"cae","Canadian Heritage",0
"f35","Canadian Heritage",0
"airbus","Canadian Heritage",0
"textron","Canadian Heritage",0
"dynamics","Canadian Heritage",0
"dettwiler","Canadian Heritage",0
"atomics","Canadian Heritage",0
"skyalyne","Financial Consumer Agency of Canada",0
"vancouver shipyards","Financial Consumer Agency of Canada",0
"cae","Financial Consumer Agency of Canada",0
"f35","Financial Consumer Agency of Canada",0
"airbus","Financial Consumer Agency of Canada",0
"textron","Financial Consumer Agency of Canada",0
"dynamics","Financial Consumer Agency of Canada",0
"dettwiler","Financial Consumer Agency of Canada",0
"atomics","Financial Consumer Agency of Canada",0
"skyalyne","Financial Transactions and Reports Analysis Centre of Canada",0
"vancouver shipyards","Financial Transactions and Reports Analysis Centre of Canada",0
"cae","Financial Transactions and Reports Analysis Centre of Canada",0
"f35","Financial Transactions and Reports Analysis Centre of Canada",0
"bell","Financial Transactions and Reports Analysis Centre of Canada",0
